15 15
waterDeep 0 0
waterDeep 0 0
waterDeep 0 0
waterDeep 0 0
waterDeep 0 0
waterDeep 0 0
waterDeep 0 0
waterDeep 80 0
waterDeep 0 0
waterDeep 0 0
waterDeep 0 0
waterDeep 0 0
forrest 0 0
forrest 0 0
waterDeep 0 0
waterSeashore 0 0
forrest 100 0
waterDeep 0 0
waterDeep 0 0
waterSeashore 0 0
waterDeep 0 0
waterDeep 0 0
waterDeep 0 0
waterDeep 0 0
waterSeashore 0 0
waterSeashore 0 0
forrest 0 0
forrest 0 0
forrest 0 0
waterDeep 0 0
waterSeashore 0 0
forrest 0 0
waterDeep 0 0
waterDeep 0 0
forrest 65 0
waterSeashore 0 0
waterDeep 0 0
waterDeep 0 0
waterDeep 0 0
waterSeashore 0 0
forrest 55 0
forrest 0 0
grassland 0 0
grassland 0 0
forrest 100 0
forrest 0 0
waterDeep 0 0
forrest 0 0
forrest 0 0
waterSeashore 0 0
waterDeep 0 0
waterDeep 0 0
waterSeashore 0 0
waterSeashore 0 0
forrest 0 0
mountainTop 0 0
forrest 0 0
grassland 0 0
forrest 0 0
waterDeep 0 0
waterSeashore 0 0
forrest 0 0
waterDeep 0 0
forrest 0 0
forrest 0 0
waterSeashore 0 0
waterSeashore 0 0
waterSeashore 0 0
forrest 0 0
forrest 0 0
mountainTop 0 0
mountainTop 50 0
grassland 0 0
waterSeashore 0 0
waterSeashore 0 0
forrest 0 0
forrest 0 0
forrest 0 0
mountainTop 0 0
waterSeashore 0 0
forrest 0 0
forrest 55 0
waterSeashore 0 0
forrest 0 0
forrest 0 0
mountainTop 0 0
grassland 0 0
forrest 0 0
waterSeashore 0 0
waterSeashore 0 0
waterSeashore 0 0
forrest 0 0
forrest 0 0
grassland 0 1 1 BUILDERUNIT :/dynamic/dynamicUnit/scpmerlin.txt
forrest 0 0
grassland 0 0
forrest 0 0
forrest 0 0
forrest 0 0
mountainTop 0 0
forrest 0 0
grassland 80 0
grassland 0 0
forrest 0 0
mountainTop 80 0
waterSeashore 0 0
forrest 0 0
grassland 0 1 1 HEADQUATERUNIT :/static/staticUnit/headquater.txt
grassland 0 1 1 FACTORYUNIT :/static/staticUnit/factory.txt
forrest 0 0
grassland 0 0
forrest 0 0
streetCurve180d 0 0
streetStraight 0 0
streetCurve120d 0 0
grassland 0 0
forrest 0 0
grassland 0 0
waterSeashore 0 0
waterSeashore 0 0
waterSeashore 0 0
forrest 40 0
forrest 0 0
streetStraight120d 0 1 1 LIGHTUNIT :/dynamic/dynamicUnit/ben.txt
grassland 0 0
grassland 0 0
grassland 0 0
streetStraight60d 0 0
grassland 500 0
forrest 0 0
streetStraight120d 0 0
grassland 0 0
mountainTop 0 0
grassland 0 0
waterSeashore 0 0
waterSeashore 0 0
waterSeashore 0 0
grassland 0 1 1 DEPOTUNIT :/static/staticUnit/depot.txt
streetStraight120d 0 0
grassland 55 0
grassland 0 0
streetStraight60d 0 0
forrest 0 0
forrest 0 0
forrest 0 0
streetCurve60d 0 0
forrest 0 0
forrest 0 0
waterSeashore 0 0
waterSeashore 0 0
waterSeashore 0 0
waterSeashore 0 0
waterSeashore 0 0
grassland 0 0
streetCurve300d 0 0
streetStraight 0 0
streetCurve 0 0
forrest 0 0
forrest 0 0
mountainTop 0 0
streetStraight60d 0 0
grassland 55 0
forrest 0 0
forrest 0 0
forrest 0 0
waterSeashore 0 0
waterSeashore 0 0
waterSeashore 0 0
grassland 0 1 1 MEDIUMUNIT :/dynamic/dynamicUnit/lucas.txt
forrest 0 0
grassland 0 0
forrest 80 0
forrest 0 0
forrest 55 0
streetCurve240d 0 0
grassland 0 0
forrest 0 0
grassland 0 1 2 DEPOTUNIT :/static/staticUnit/depot.txt
grassland 0 1 2 BUILDERUNIT :/dynamic/dynamicUnit/scpmerlin.txt
forrest 0 0
waterSeashore 50 0
waterSeashore 0 0
forrest 0 0
forrest 0 0
forrest 0 0
mountainTop 0 0
grassland 0 0
waterSeashore 0 0
forrest 0 0
mountainTop 0 0
streetCurve300d 0 0
streetStraight 0 0
streetStraight 0 1 2 LIGHTUNIT :/dynamic/dynamicUnit/ben.txt
grassland 0 1 2 HEADQUATERUNIT :/static/staticUnit/headquater.txt
forrest 0 0
waterSeashore 0 0
forrest 0 0
mountainTop 50 0
forrest 0 0
mountainTop 0 0
mountainTop 0 0
forrest 0 0
waterDeep 0 0
waterSeashore 0 0
forrest 0 0
grassland 0 1 2 MEDIUMUNIT :/dynamic/dynamicUnit/lucas.txt
grassland 0 0
grassland 0 1 2 FACTORYUNIT :/static/staticUnit/factory.txt
grassland 0 0
forrest 0 0
waterSeashore 0 0
forrest 55 0
forrest 0 0
forrest 0 0
waterSeashore 0 0
mountainTop 0 0
forrest 80 0
grassland 0 0
streetStraight 0 0
grassland 0 0
grassland 0 0
grassland 0 0
grassland 0 0
forrest 0 0
forrest 40 0
